구,동,X,Y,age_score,population_score,cost_score,subway_score,bus_score,car_score,store_score
강남구,삼성2동,127.0488,37.51186,0.2882,0.5642,0.5554,0.2857,0.2418,0.3204,0.0659
강남구,대치1동,127.0591,37.49336,0.1529,0.4393,1.0,0.1429,0.2967,0.0375,0.0119
강남구,대치4동,127.0548,37.50157,0.2941,0.3417,0.3762,0.0,0.3516,0.3756,0.0976
강남구,역삼1동,127.0355,37.50084,0.2882,0.6598,0.2834,1.0,0.3407,0.8778,0.3245
강남구,역삼2동,127.0449,37.49848,0.1824,0.6745,0.6141,0.0,0.2418,0.4118,0.0721
강남구,도곡1동,127.041,37.48889,0.3412,0.3831,0.6226,0.1429,0.5824,0.1349,0.0301
강남구,도곡2동,127.0498,37.48828,0.3353,0.596,0.8396,0.2857,0.1648,0.1013,0.0405
강남구,개포1동,127.0623,37.47778,0.2882,0.4946,0.6083,0.0,0.1429,0.0081,0.0008
강남구,개포4동,127.0534,37.47533,0.3941,0.4266,0.2727,0.0,0.6264,0.293,0.0274
강남구,일원본동,127.0845,37.48231,0.3118,0.4128,0.6286,0.1429,0.2308,0.0443,0.0042
강남구,일원1동,127.0892,37.49347,0.6529,0.2617,0.1736,0.0,0.1209,0.2709,0.0187
강남구,일원2동,127.0788,37.49629,0.0,0.0,0.4611,0.1429,0.1978,0.0,0.0052
강남구,수서동,127.1001,37.48692,1.0,0.2485,0.3285,0.4286,0.2637,0.0336,0.016
강남구,세곡동,127.1043,37.47066,0.3118,0.8537,0.3356,0.0,0.6703,0.2568,0.019
강남구,압구정동,127.0343,37.52975,0.5059,0.4732,0.697,0.2857,0.2418,0.2743,0.1842
강남구,청담동,127.0505,37.52439,0.3882,0.4443,0.547,0.0,0.2418,0.4321,0.1327
강남구,대치2동,127.0657,37.50099,0.2882,0.7132,0.7362,0.5714,0.2527,0.1865,0.0688
강남구,개포2동,127.069,37.48467,0.2294,0.7814,0.5818,0.4286,0.2747,0.0597,0.0137
송파구,풍납1동,127.1147,37.53844,0.7059,0.2074,0.1714,0.1429,0.044,0.0753,0.0093
송파구,풍납2동,127.1082,37.53017,0.4294,0.4276,0.3368,0.0,0.1319,0.1566,0.0145
송파구,거여1동,127.1419,37.49475,0.6353,0.2159,0.1296,0.1429,0.2088,0.1334,0.0144
송파구,거여2동,127.1483,37.49212,0.5118,0.4282,0.1755,0.0,0.1978,0.1102,0.0134
송파구,마천1동,127.156,37.49532,0.7471,0.2819,0.0632,0.1429,0.1868,0.1881,0.0142
송파구,마천2동,127.1506,37.50053,0.7882,0.3144,0.0451,0.0,0.0879,0.2337,0.0262
송파구,방이1동,127.1225,37.50985,0.4118,0.275,0.3516,0.1429,0.1978,0.1753,0.0325
송파구,방이2동,127.1139,37.51325,0.3588,0.4954,0.1558,0.1429,0.1538,0.4126,0.0903
송파구,오륜동,127.1288,37.51743,0.4176,0.3226,0.7508,0.4286,0.1429,0.0068,0.0098
송파구,오금동,127.134,37.504,0.5235,0.6981,0.2652,0.1429,0.3626,0.3485,0.0403
송파구,송파1동,127.1104,37.50718,0.4059,0.4263,0.1935,0.0,0.2088,0.4222,0.0697
송파구,송파2동,127.117,37.50285,0.4118,0.3589,0.4269,0.0,0.2088,0.1203,0.0184
송파구,석촌동,127.1025,37.50273,0.4294,0.5678,0.1557,0.4286,0.1429,0.5809,0.0763
송파구,삼전동,127.0919,37.5019,0.4,0.5314,0.1279,0.0,0.2198,0.5064,0.0415
송파구,가락본동,127.1217,37.49702,0.4765,0.4584,0.2673,0.1429,0.2747,0.0042,0.0782
송파구,가락1동,127.1083,37.49519,0.2412,0.5046,0.5401,0.4286,0.1319,0.2589,0.0163
송파구,가락2동,127.1308,37.49585,0.3706,0.5606,0.3403,0.2857,0.2747,0.2855,0.0319
송파구,문정1동,127.1269,37.48844,0.4353,0.3647,0.2761,0.0,0.2308,0.2191,0.0326
송파구,문정2동,127.1191,37.4812,0.3471,0.5319,0.4371,0.4286,0.3516,0.0237,0.163
송파구,잠실본동,127.0826,37.50599,0.3882,0.5139,0.1842,0.1429,0.1209,0.0083,0.0985
송파구,잠실4동,127.1092,37.5207,0.2647,0.3864,0.7344,0.2857,0.1868,0.0094,0.0028
송파구,잠실6동,127.0995,37.51977,0.4412,0.3021,0.5897,0.2857,0.1429,0.0034,0.0699
송파구,잠실7동,127.0739,37.50732,0.6235,0.17,0.7357,0.2857,0.1209,0.4947,0.002
송파구,잠실2동,127.0793,37.51743,0.1471,0.6424,0.7992,0.1429,0.022,0.0068,0.0196
송파구,잠실3동,127.0942,37.5139,0.4118,0.622,0.6301,0.0,0.2637,0.0039,0.0754
송파구,장지동,127.1315,37.48297,0.4412,0.5713,0.2188,0.1429,0.5055,0.1753,0.0185
송파구,위례동,127.1407,37.48121,0.0,0.8354,0.3953,0.0,0.4286,0.0099,0.0169
강동구,강일동,127.1743,37.56354,0.3765,0.6389,0.183,0.2857,0.7143,0.0255,0.0107
강동구,상일동,127.1648,37.55066,0.0,0.0,0.299,0.1429,0.5165,0.0,0.0221
강동구,명일1동,127.1459,37.55035,0.4118,0.4577,0.2708,0.1429,0.3626,0.1284,0.0473
강동구,명일2동,127.1543,37.54824,0.3824,0.311,0.4538,0.1429,0.2198,0.0831,0.0173
강동구,고덕1동,127.1509,37.56171,0.2294,0.438,0.4734,0.0,0.1868,0.1706,0.0085
강동구,고덕2동,127.162,37.56498,0.2412,0.4874,0.0688,0.0,0.1099,0.2706,0.0203
강동구,암사2동,127.1237,37.55703,0.4412,0.2682,0.2986,0.1429,0.0659,0.0904,0.0143
강동구,암사3동,127.1386,37.56119,0.3647,0.3103,0.4456,0.1429,0.044,0.0771,0.0047
강동구,천호1동,127.1385,37.54633,0.6412,0.4684,0.0703,0.1429,0.1978,0.3462,0.0287
강동구,천호3동,127.1333,37.53969,0.5176,0.4941,0.2003,0.0,0.3736,0.2688,0.0494
강동구,성내1동,127.1255,37.52869,0.4294,0.3525,0.2516,0.1429,0.3297,0.2053,0.0349
강동구,성내2동,127.1277,37.5344,0.5471,0.4572,0.1363,0.2857,0.2088,0.3345,0.0408
강동구,성내3동,127.1338,37.52835,0.5529,0.4048,0.15,0.0,0.2418,0.3269,0.0647
